nom,name,an2013,an2012,iso,capitale,latitude,longitude
Koweït,Kuwait,77,78,KWT,Kuwait,29.30N,48.00E
Laos,Lao People's Democratic Republic,168,165,LAO,Vientiane, 17.58N,102.37E
Lesotho,Lesotho,81,63,LSO,Maseru,29.18S,27.30E
Lettonie,Latvia,39,50,LVA,Riga,56.53N,24.08E
Liban,Lebanon,101,93,LBN,Beirut,33.53N,35.31E
Liberia,Liberia,97,110,LBR,Monrovia,06.18N,10.47W
Libye,Libyan Arab Jamahiriya,131,154,LBY,Tripoli,32.54N,13.1109E
Liechtenstein,Liechtenstein,7,-,LIE,Vaduz,47.08N,9.31E
Lituanie,Lithuania,33,30,LTU,Vilnius,54.38N,25.19E
Luxembourg,Luxembourg,4,6,LUX,Luxembourg,49.37N,06.09E
Macédoine,The Former Yugoslav Republic of Macedonia,116,94,MKD,Skopje,41.5954N,21.2552E
Madagascar,Madagascar,88,84,MDG,Antananarivo,18.55S,47.31E
Malaisie,Malaysia,145,122,MYS,Kuala Lumpur,03.09N,101.41E
Malawi,Malawi,75,146,MWI,Lilongwe,14.00S,33.48E
Maldives,Maldives,103,73,MDV,Male,04.00N,73.28E
Mali,Mali,99,25,MLI,Bamako,12.34N,07.55W
Malte,Malta,45,58,MLT,Valletta,35.54N,14.31E
Maroc,Morocco,136,138,MAR,Rabat,34.02N,6.51W
Maurice,Mauritius,62,54,MUS,Port-Louis,20.936S,57.3036E
Mauritanie,Mauritania,67,67,MRT,Nouakchott,20.10S,57.30E
Mexique,Mexico,153,149,MEX,Mexico,19.20N,99.10W
Moldavie,Republic of Moldova,55,53,MDA,Chișinău,47N,28.55E
Mongolie,Mongolia,98,100,MNG,Ulaanbaatar,47.55N,106.53E
Monténégro,Montenegro,113,107,MNE,Podgorica,42.47N,19.28E
Mozambique,Mozambique,73,66,MOZ,Maputo,25.58S,32.32E
Namibie,Namibia,19,20,NAM,Windhoek,22.35S,17.04E
Népal,Nepal,118,106,NPL,Kathmandu,27.45N,85.20E
Nicaragua,Nicaragua,78,72,NIC,Managua,12.06N,86.20W
Niger,Niger,43,29,NER,Niamey,13.27N,02.06E
Nigeria,Nigeria,115,126,NGA,Abuja,09.05N,07.32E
Norvège,Norway,3,1,NOR,Oslo,59.55N,10.45E
Nouvelle-Zélande,New Zealand,8,13,NZL,Wellington,41.19S,174.46E
OECS,Antigua and Barbuda,34,25,ATG,West Indies,17.20N,61.48W
Oman,Oman,141,117,OMN,Masqat,23.37N,58.36E
Ouganda,Uganda,104,139,UGA,Kampala,00.20N,32.30E
Ouzbékistan,Uzbekistan,164,157,UZB,Tashkent,41.20N,69.10E
Pakistan,Pakistan,159,151,PAK,Islamabad,33.40N,73.10E
Palestine,Palestine,146,153,PSE,Jerusalem,31.54N,35.12E
Panama,Panama,111,113,PAN,Panama,09.00N,79.25W
Papouasie-Nouvelle-Guinée,Papua New Guinea,41,35,PNG,Port Moresby,09.24S,147.08E
Paraguay,Paraguay,91,80,PRY,Asuncion,25.10S,57.30W
Pays-Bas,Netherlands,2,3,NLD,Amsterdam,52.23N,04.54E
Pérou,Peru,105,115,PER,Lima,12.00S,77.00W
Philippines,Philippines,147,140,PHL,Manila,14.40N,121.03E
Pologne,Poland,22,24,POL,Warsaw,52.13N,21.00E
Portugal,Portugal,28,33,PRT,Lisbon,38.42N,09.10W
Qatar,Qatar,110,114,QAT,Doha,25.15N,51.35E
RD Congo,The Democratic Republic Of The Congo,142,145,COD,Kinshasa,4.24S,15.24E
République centrafricaine,Central African,65,62,CAF,Bangui,4.22N,18.35E
République dominicaine,Dominican Republic,80,95,DOM,Saint-Domingue,18.29N,69.55W
République du Gabon,Gabon,89,101,GAB,Libreville,00.25N,09.26E
République tchèque,Czech Republic,16,14,CZE,Prague,50.05N,14.22E
Roumanie,Romania,42,47,ROU,Bucuresti,44.27N,26.10E
Royaume-Uni,United Kingdom,29,28,GBR,London,51.36N,00.05W
Russie,Russian Federation,148,142,RUS,Moscou,55.45N,37.42E
Rwanda,Rwanda,161,156,RWA,Kigali,1.58S,30.7E
Samoa,Samoa,48,54,WSM,Apia,13.50S,171.50W
Sénégal,Senegal,59,75,SEN,Dakar,14.34N,17.29W
Serbie,Serbia,63,80,SRB,Belgrade,44.48N,20.23E
Seychelles,Seychelles,93,73,SYC,Victoria,4.37S,55.27E
Sierra Leone,Sierra Leone,61,63,SLE,Freetown,08.30N,13.17W
Singapour,Singapore,149,135,SGP,Singapour,1.17N,103.51E
Slovaquie,Slovakia,23,25,SVK,Bratislava,48.10N,17.07E
Slovénie,Slovenia,35,36,SVN,Ljubljana,46.04N,14.33E
Somalie,Somalia,175,164,SOM,Mogadishu,02.02N,45.25E
Soudan,Sudan,170,170,SDN,Khartoum,15.31N,32.35E
Soudan du Sud,South Sudan,124,111,SSD,Djouba,4.51N,31.36E
Sri Lanka,Sri Lanka,162,163,LKA,Sri Jayawardenapura,6.54N,79.54E
Sude,Sweden,10,12,SWE,Stockholm,59.20N,18.03E
Suisse,Switzerland,14,8,CHE,Bern,46.57N,07.28E
Surinam,Suriname,31,22,SUR,Paramaribo,05.50N,55.10W
Swaziland,Swaziland,155,144,SWZ,Mbabane,26.18S,31.06E
Syrie,Syrian Arab Republic,176,176,SYR,Damas,33.3132N,36.1852E
Tadjikistan,Tajikistan,123,122,TJK,Dushanbe,38.33N,68.48E
Taïwan,Taiwan,47,45,TWN,#N/A,23.28N,121E
Tanzanie,United Republic Of Tanzania,70,34,TZA,Dodoma,6.11N,35.445E
Tchad,Chad,121,103,TCD,N'Djamena,12.10N,14.59E
Thailande,Thailand,135,137,THA,Bangkok,13.45N,100.35E
Timor-Leste,Timor-Leste,90,86,TLS,Dili,8.33S,125.34E
Togo,Togo,83,79,TGO,Lome,06.09N,01.20E
Tonga,Tonga,66,63,TON,Nuku'alofa,21.10S,174.00W
Trinité-et-Tobago,Trinidad and Tobago,44,50,TTO,Port-d'Espagne,10.39N,30W
Tunisie,Tunisia,138,134,TUN,Tunis,36.50N,10.11E
Turkménistan,Turkmenistan,177,177,TKM,Ashgabat,38.00N,57.50E
Turquie,Turkey,154,148,TUR,Ankara,39.57N,32.54E
Ukraine,Ukraine,126,116,UKR,Kiev,50.30N,30.28E
Uruguay,Uruguay,27,32,URY,Montevideo,34.50S,56.11W
Venezuela,Venezuela,117,117,VEN,Caracas,10.30N,66.55W
Vietnam,Vietnam,172,172,VNM,Hanoï,21.2N,105.51E
Yémen,Yemen,169,171,YEM,Sanaa,15.2118N,44.1225E
Zambie,Zambia,72,86,ZMB,Lusaka,15.28S,28.16E
Zimbabwe,Zimbabwe,133,117,ZWE,Harare,17.43S,31.02E
